assembly_accession,species,strain,assembly_level,assembly_method,bioproject,biosample,genome_size,gc_content,contig_count,n50,sequencing_tech,genome_type,host,isolation_source,country,collection_date,has_host,has_source,has_country,host_clean,source_clean,country_clean,species_epithet,host_bs,source_bs,country_bs,host_final,host_source,source_final,source_source,country_final,country_source,species_final
GCF_027693645.1,Bifidobacterium bifidum,OF24-2pH5A,Scaffold,SOAPdenovo v. v2.04,PRJNA903559,SAMN31809677,2195714.0,62.5,13.0,320825.0,,isolate,Homo sapiens,,China: Shenzhen,,True,False,True,homo sapiens,,China: Shenzhen,bifidum,homo sapiens,fecal material [envo:00002003],china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium bifidum
GCF_027724105.1,Bifidobacterium bifidum,AF06-45B,Scaffold,SOAPdenovo v. v2.04,PRJNA903559,SAMN31807734,2244187.0,63.0,20.0,319388.0,,isolate,Homo sapiens,,China: Shenzhen,,True,False,True,homo sapiens,,China: Shenzhen,bifidum,homo sapiens,fecal material [envo:00002003],china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium bifidum
GCF_028201895.1,Bifidobacterium bifidum,G6_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321369,2229016.0,62.5,24.0,171594.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028201935.1,Bifidobacterium bifidum,1025st1_E4_1025SCRN_200924,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321351,2162904.0,63.0,13.0,208569.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028201955.1,Bifidobacterium bifidum,C7_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321368,2230949.0,62.5,14.0,415473.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028201965.1,Bifidobacterium bifidum,2226st1_E4_2226SCRN_200925,Contig,SPAdes v. 3.10.1,PRJNA880610,SAMN31321353,2211462.0,63.0,19.0,407984.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202015.1,Bifidobacterium bifidum,D52st1_E11_D52t1_170925,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321364,2175598.0,63.0,24.0,121697.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202035.1,Bifidobacterium bifidum,B1_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321367,2243517.0,62.5,22.0,303999.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202055.1,Bifidobacterium bifidum,D31st1_E7_D31t1_170403,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321363,2160787.0,62.5,24.0,222517.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202075.1,Bifidobacterium bifidum,D31st1_A3_D31t1_170403,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321361,2155609.0,62.5,23.0,151690.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202095.1,Bifidobacterium bifidum,D31st1_B4_D31t1_170403,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321362,2156102.0,62.5,23.0,147446.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202115.1,Bifidobacterium bifidum,BSD2780061688st1_G1_BSD2780061688b_171218,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321360,2164212.0,62.5,8.0,552634.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202125.1,Bifidobacterium bifidum,1001283st1_F2_1001283B150304_161114,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321343,2228460.0,63.0,22.0,284818.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202155.1,Bifidobacterium bifidum,1001283st1_G4_1001283B150217_161031,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321346,2227139.0,63.0,21.0,565249.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202165.1,Bifidobacterium bifidum,1001283st1_F3_1001283B150210_160208,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321344,2233183.0,62.5,22.0,285366.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202185.1,Bifidobacterium bifidum,BSD2780061688st1_D1_BSD2780061688b_171218,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321359,2162839.0,62.5,12.0,272785.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202215.1,Bifidobacterium bifidum,1001283st1_F5_1001283B150209_150212,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321345,2236844.0,62.5,25.0,284820.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202225.1,Bifidobacterium bifidum,1025st1_F12_1025SCRN_200924,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321352,2167082.0,63.0,14.0,315832.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202255.1,Bifidobacterium bifidum,1025st1_B5_1025SCRN_200924,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321348,2163012.0,63.0,19.0,267759.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202265.1,Bifidobacterium bifidum,1025st1_D2_1025SCRN_200924,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321350,2165590.0,63.0,10.0,642394.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202295.1,Bifidobacterium bifidum,1001283st1_C1_1001283B150225_161107,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321338,2240206.0,62.5,23.0,565248.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202305.1,Bifidobacterium bifidum,1025st1_A12_1025SCRN_200924,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321347,2163215.0,63.0,25.0,172632.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202335.1,Bifidobacterium bifidum,1001283st1_A1_1001285H_161024,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321336,2237458.0,62.5,22.0,284390.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202355.1,Bifidobacterium bifidum,1001283st1_E8_1001285I_161205,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321342,2237642.0,62.5,21.0,190794.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202365.1,Bifidobacterium bifidum,1001283st1_B11_1001285I_161205,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321337,2237123.0,62.5,21.0,190790.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202395.1,Bifidobacterium bifidum,J1101312st1_E10_J1101312_190322,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321382,2203844.0,62.5,12.0,393823.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202415.1,Bifidobacterium bifidum,J1101312st1_C7_J1101312_190322,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321381,2205137.0,62.5,12.0,507262.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202425.1,Bifidobacterium bifidum,A4_hBSD2780061687b_210117,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321396,2166523.0,62.5,12.0,506534.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202435.1,Bifidobacterium bifidum,F3_hBSD2780061687b_210117,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321402,2166341.0,62.5,14.0,622898.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202455.1,Bifidobacterium bifidum,H2_hBSD2780061687b_210117,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321404,2164781.0,62.5,12.0,640422.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202495.1,Bifidobacterium bifidum,H9_hBSD2780061687_210209,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321394,2176588.0,62.5,18.0,324518.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202515.1,Bifidobacterium bifidum,F11_hBSD2780061687b_210117,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321401,2170799.0,62.5,18.0,640780.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202535.1,Bifidobacterium bifidum,E4_hBSD2780061687b_210117,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321400,2166508.0,62.5,14.0,362458.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202555.1,Bifidobacterium bifidum,B6_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321373,2232565.0,62.5,21.0,196519.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202575.1,Bifidobacterium bifidum,1001283st1_E8_1001283B150210_160208,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321341,2232798.0,62.5,24.0,284816.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202595.1,Bifidobacterium bifidum,1001216st1_H2_BSD2780120875b_170604,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321329,2225154.0,62.5,25.0,223768.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202605.1,Bifidobacterium bifidum,1001283st1_D6_1001283B150209_150212,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321340,2246645.0,62.5,26.0,565176.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202615.1,Bifidobacterium bifidum,1001216st1_B8_1028SCRN_200821,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321327,2218460.0,63.0,19.0,367537.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202675.1,Bifidobacterium bifidum,1001271st1_H11_1001271B_150615,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321335,2265274.0,62.5,28.0,161020.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202695.1,Bifidobacterium bifidum,1001216st1_H5_1028SCRN_200821,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321330,2079060.0,62.5,52.0,58635.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202715.1,Bifidobacterium bifidum,1001271st1_G7_1001270J_160509,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321334,2161970.0,62.5,36.0,125523.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202725.1,Bifidobacterium bifidum,1001283st1_C8_1001283B150304_161114,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321339,2229277.0,62.5,19.0,284815.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202735.1,Bifidobacterium bifidum,1001271st1_F2_1001271B_151109,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321333,2262611.0,62.5,106.0,42237.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202785.1,Bifidobacterium bifidum,1001216st1_E8_1001216I_160404,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321328,2217961.0,63.0,23.0,223768.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202815.1,Bifidobacterium bifidum,1001271st1_A6_1001270H_150608,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321332,2257078.0,63.0,22.0,154618.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202835.1,Bifidobacterium bifidum,1001216st1_H8_1001216I_160404,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321331,2216742.0,63.0,25.0,223768.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028202855.1,Bifidobacterium bifidum,1001136st1_C1_1001136B_160425,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321326,2151299.0,62.5,22.0,184913.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203495.1,Bifidobacterium bifidum,RTP21484st2_A9_RTP21484_190118,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321414,2160052.0,63.0,15.0,317490.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203515.1,Bifidobacterium bifidum,A2_hBSD2780061687b_210117,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321395,2167960.0,62.5,18.0,266084.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203535.1,Bifidobacterium bifidum,RTP21221st1_G2_RTP21221_200709,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321406,2128200.0,62.5,20.0,197424.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203545.1,Bifidobacterium bifidum,B3_hBSD2780061687b_210117,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321397,2101620.0,63.0,14.0,456013.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203575.1,Bifidobacterium bifidum,F10_hBSD2780061687_210209,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321389,2172562.0,62.5,30.0,113594.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203615.1,Bifidobacterium bifidum,A12_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321372,2227971.0,62.5,15.0,253962.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203625.1,Bifidobacterium bifidum,E2_hBSD2780061687_210209,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321386,2072672.0,62.5,67.0,66874.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203645.1,Bifidobacterium bifidum,E2_hBSD2780061687b_210117,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321399,2015899.0,62.5,11.0,552569.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203675.1,Bifidobacterium bifidum,J1101312st1_H2_J1101312_190322,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321384,2205140.0,62.5,13.0,550185.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203695.1,Bifidobacterium bifidum,J1101312st1_E3_J1101312_190322,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321383,2202854.0,62.5,14.0,354446.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203705.1,Bifidobacterium bifidum,G10_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321380,2228102.0,62.5,16.0,303998.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203735.1,Bifidobacterium bifidum,F6_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321377,2235573.0,62.5,19.0,304292.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203745.1,Bifidobacterium bifidum,G8_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321379,2227830.0,62.5,13.0,377454.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203775.1,Bifidobacterium bifidum,F11_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321378,2231372.0,62.5,22.0,140069.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203795.1,Bifidobacterium bifidum,C4_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321375,2227530.0,62.5,16.0,253957.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203815.1,Bifidobacterium bifidum,F5_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321376,2234767.0,62.5,20.0,167220.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203835.1,Bifidobacterium bifidum,D53st1_B4_D53t1_180928,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321366,2217738.0,62.5,17.0,246097.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203855.1,Bifidobacterium bifidum,D53st1_A12_D53t1_180928,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321365,2217300.0,62.5,10.0,555058.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203875.1,Bifidobacterium bifidum,H3_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321371,2227956.0,62.5,14.0,332066.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028203895.1,Bifidobacterium bifidum,H2_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321370,2229498.0,63.0,16.0,214085.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_028368265.1,Bifidobacterium bifidum,RTP21484st2_G9_RTP21484_190118,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321246,2159966.0,63.0,16.0,185066.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,bifidum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium bifidum
GCF_029011515.1,Bifidobacterium bifidum,VSI20,Complete Genome,trycycler v. v0.4.1,PRJNA934404,SAMN33275447,2238598.0,63.0,1.0,2238598.0,,isolate,Homo sapiens,,"USA: Houston, TX",,True,False,True,homo sapiens,,"USA: Houston, TX",bifidum,homo sapiens,vagina,"usa: houston, tx",homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium bifidum
GCF_029723375.1,Bifidobacterium bifidum,LH_1045,Contig,SPAdes v. 3.11,PRJNA796283,SAMN24838608,2277420.0,62.5,59.0,105609.0,,isolate,Homo sapiens,fecal sample,United Kingdom,,True,True,True,homo sapiens,fecal sample,United Kingdom,bifidum,homo sapiens,fecal sample,united kingdom,homo sapiens,biosample,human_gut,biosample,united kingdom,biosample,Bifidobacterium bifidum
GCF_029723435.1,Bifidobacterium bifidum,LH_1044,Contig,SPAdes v. 3.11,PRJNA796283,SAMN24838607,2223105.0,63.0,28.0,215306.0,,isolate,Homo sapiens,fecal sample,United Kingdom,,True,True,True,homo sapiens,fecal sample,United Kingdom,bifidum,homo sapiens,fecal sample,united kingdom,homo sapiens,biosample,human_gut,biosample,united kingdom,biosample,Bifidobacterium bifidum
GCF_029723555.1,Bifidobacterium bifidum,LH_1036,Scaffold,SPAdes v. 3.11,PRJNA796283,SAMN24838606,2224999.0,63.0,34.0,175357.0,,isolate,Homo sapiens,fecal sample,United Kingdom,,True,True,True,homo sapiens,fecal sample,United Kingdom,bifidum,homo sapiens,fecal sample,united kingdom,homo sapiens,biosample,human_gut,biosample,united kingdom,biosample,Bifidobacterium bifidum
GCF_029723565.1,Bifidobacterium bifidum,LH_1017,Contig,SPAdes v. 3.11,PRJNA796283,SAMN24838604,2229202.0,63.0,46.0,237271.0,,isolate,Homo sapiens,fecal sample,United Kingdom,,True,True,True,homo sapiens,fecal sample,United Kingdom,bifidum,homo sapiens,fecal sample,united kingdom,homo sapiens,biosample,human_gut,biosample,united kingdom,biosample,Bifidobacterium bifidum
GCF_029723575.1,Bifidobacterium bifidum,LH_1048,Contig,SPAdes v. 3.11,PRJNA796283,SAMN24838610,2277011.0,62.5,58.0,90329.0,,isolate,Homo sapiens,fecal sample,United Kingdom,,True,True,True,homo sapiens,fecal sample,United Kingdom,bifidum,homo sapiens,fecal sample,united kingdom,homo sapiens,biosample,human_gut,biosample,united kingdom,biosample,Bifidobacterium bifidum
GCF_029723595.1,Bifidobacterium bifidum,LH_1016,Contig,SPAdes v. 3.11,PRJNA796283,SAMN24838603,2227001.0,63.0,37.0,312648.0,,isolate,Homo sapiens,fecal sample,United Kingdom,,True,True,True,homo sapiens,fecal sample,United Kingdom,bifidum,homo sapiens,fecal sample,united kingdom,homo sapiens,biosample,human_gut,biosample,united kingdom,biosample,Bifidobacterium bifidum
